Botanical_Name,Common_Name,L,T,H,W,S
Passiflora caerulea,Pasionaria,1,2,1-2,1,2
Kalanchoe daigremontiana,Aranto,1-2,2,2-3,3,5
Dracaena fragrans,Palo de Brasil,2-3,2,2,2,2
Sansevieria trifasciata,Lengua de tigre,2-4,2,3,2-3,5
Epipremnum aureum,Potus,2-4,2,2,2,2
Crassula ovata,Árbol de jade,2-3,2,2,2,2
Kalanchoe blossfeldiana,Kalanchoe,1-2,2,2,2,1
Portulaca oleracea,Verdolaga,1-2,1-3,2,3,5
Canna indica,Caña de las indias,1-2,3,1-2,1,1
Thunbergia alata,Susana de Ojos negros,1,3,1-2,1,1
Tradescantia zebrina,Zebrina,2-3,2,2,2,2
Setcreasea pallida,Amor de hombre,1-2,2,2,2,2
Duranta erecta,Duranta,1-2,3,2,2,1
Acer negundo,Arce Negundo,1-2,2-3,2,2,2
Tropaeolum majus,Capuchina,1,3,1,1,3
Arum italicum,Tragontina,2,2-3,2,2,2
Lagerstroemia indica,Árbol de Júpiter,1,2-3,1-2,1-2,1
Monstera deliciosa,Monstera,2-4,2,2,2,2
Rosa chinensis,Rosa china,1,2,2,2,1
Coleus scutellarioides,Cóleo,2-3,2,2,2,1
Haworthia fasciata,Cebra,1-2,2,3,2-3,5
Echeveria secunda,Tememetla,1-2,2,3,3,5
